Ready to Parse files17:30:54 - Loading in to memory
17:30:54 - Converting Items
20:00:22 - 583 Files saved
20:00:31 - 584 Files saved
20:01:08 - 585 Files saved
20:07:12 - 586 Files saved
20:09:15 - 587 Files saved
20:12:06 - 588 Files saved
20:14:37 - 589 Files saved
20:14:48 - 590 Files saved
20:17:45 - 591 Files saved
20:21:55 - 592 Files saved
20:23:00 - 593 Files saved
20:25:12 - 594 Files saved
20:25:21 - 595 Files saved
20:27:32 - 596 Files saved
20:28:19 - 597 Files saved
20:29:06 - 598 Files saved
20:30:39 - 599 Files saved
20:31:34 - 600 Files saved
20:32:14 - 601 Files saved
20:32:23 - 602 Files saved
20:33:01 - 603 Files saved
20:33:48 - 604 Files saved
20:35:56 - 605 Files saved
20:36:24 - 606 Files saved
20:38:18 - 607 Files saved
20:42:44 - 608 Files saved
20:43:42 - 609 Files saved
20:45:27 - 610 Files saved
20:46:24 - 611 Files saved
20:48:18 - 612 Files saved
20:49:06 - 613 Files saved
20:49:27 - 614 Files saved
20:51:21 - 615 Files saved
20:54:25 - 616 Files saved
20:54:25 - 617 Files saved
20:55:42 - 618 Files saved
20:56:48 - 619 Files saved
20:57:08 - 620 Files saved
20:59:32 - 621 Files saved
21:00:02 - 622 Files saved
21:00:12 - 623 Files saved
21:08:28 - 624 Files saved
21:12:33 - 625 Files saved
21:13:22 - 626 Files saved
21:14:16 - 627 Files saved
21:15:15 - 628 Files saved
21:16:04 - 629 Files saved
21:16:33 - 630 Files saved
21:21:46 - 631 Files saved
21:23:34 - 632 Files saved
21:25:22 - 633 Files saved
21:26:32 - 634 Files saved
21:27:12 - 635 Files saved
21:28:11 - 636 Files saved
21:28:30 - 637 Files saved
21:29:58 - 638 Files saved
21:31:29 - 639 Files saved
21:31:40 - 640 Files saved
21:37:18 - 641 Files saved
21:37:48 - 642 Files saved
21:40:27 - 643 Files saved
21:40:37 - 644 Files saved
21:41:26 - 645 Files saved
21:41:38 - 646 Files saved
21:42:00 - 647 Files saved
21:44:38 - 648 Files saved
21:45:18 - 649 Files saved
21:47:08 - 650 Files saved
21:47:28 - 651 Files saved
21:48:49 - 652 Files saved
21:50:02 - 653 Files saved
21:50:12 - 654 Files saved
21:57:04 - 655 Files saved
21:58:24 - 656 Files saved
21:58:35 - 657 Files saved
22:00:56 - 658 Files saved
22:01:17 - 659 Files saved
22:01:30 - 660 Files saved
22:01:50 - 661 Files saved
22:02:20 - 662 Files saved
22:02:40 - 663 Files saved
22:03:00 - 664 Files saved
22:03:42 - 665 Files saved
22:03:56 - 666 Files saved
22:04:09 - 667 Files saved
22:06:43 - 668 Files saved
22:09:58 - 669 Files saved
22:11:30 - 670 Files saved
22:14:56 - 671 Files saved
22:16:49 - 672 Files saved
22:18:43 - 673 Files saved
22:19:03 - 674 Files saved
22:20:06 - 675 Files saved
22:27:02 - 676 Files saved
22:30:20 - 677 Files saved
22:30:20 - 678 Files saved
22:31:12 - 679 Files saved
22:32:35 - 680 Files saved
22:34:29 - 681 Files saved
22:36:05 - 682 Files saved
22:36:15 - 683 Files saved
22:38:20 - 684 Files saved
